"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 15:52:00 SAST 2024","Thu Feb 08 15:52:06 SAST 2024","5434","chromium","about.spec.ts","About","","","Navigate to IFGA page and verify title",""
"passed","Thu Feb 08 15:58:47 SAST 2024","Thu Feb 08 15:58:48 SAST 2024","1310","chromium","home.spec.ts","Home","","","Navigate to the Wildlife Courses page and verify title",""
"passed","Thu Feb 08 15:59:11 SAST 2024","Thu Feb 08 15:59:12 SAST 2024","613","chromium","placements.spec.ts","Placements","","","Verify Hear from our students and staff heading",""
"passed","Thu Feb 08 15:59:20 SAST 2024","Thu Feb 08 15:59:20 SAST 2024","670","chromium","placements.spec.ts","Placements","","","Verify NYATI Safari Lodge sub-heading",""
"passed","Thu Feb 08 15:59:14 SAST 2024","Thu Feb 08 15:59:14 SAST 2024","588","chromium","placements.spec.ts","Placements","","","Verify Kapama River Lodge sub-heading",""
"passed","Thu Feb 08 15:59:01 SAST 2024","Thu Feb 08 15:59:05 SAST 2024","4081","chromium","onlineCourses.spec.ts","OnlineCourses","","","Navigate to the Nature Enthusiast Online Course page and verify title",""
"passed","Thu Feb 08 15:59:46 SAST 2024","Thu Feb 08 15:59:52 SAST 2024","5549","chromium","resources.spec.ts","Resources","","","Navigate to FGASA Accreditation page and verify title",""
"passed","Thu Feb 08 15:59:16 SAST 2024","Thu Feb 08 15:59:17 SAST 2024","672","chromium","placements.spec.ts","Placements","","","Verify Rukiya Safari Camp sub-heading",""
"passed","Thu Feb 08 15:58:29 SAST 2024","Thu Feb 08 15:58:34 SAST 2024","5162","chromium","footer.spec.ts","Footer","","","Navigate to Privacy Policy page and verify title",""
"passed","Thu Feb 08 15:58:12 SAST 2024","Thu Feb 08 15:58:13 SAST 2024","1336","chromium","employmentGuarantee.spec.ts","Employment Guarantee","","","Navigate to Bushwise Professional Field Guide course page and verify title",""
"passed","Thu Feb 08 15:52:58 SAST 2024","Thu Feb 08 15:53:03 SAST 2024","4845","chromium","about.spec.ts","About","","","Navigate to Bushwise Campus page and verify title",""
"passed","Thu Feb 08 15:59:31 SAST 2024","Thu Feb 08 15:59:37 SAST 2024","5013","chromium","resources.spec.ts","Resources","","","Navigate to FAQs page and verify title",""
"passed","Thu Feb 08 15:58:51 SAST 2024","Thu Feb 08 15:58:53 SAST 2024","2149","chromium","home.spec.ts","Home","","","Click the Go into the wild button using CSS Selector",""
"passed","Thu Feb 08 15:53:49 SAST 2024","Thu Feb 08 15:53:56 SAST 2024","7115","chromium","contact.spec.ts","Contact","","","Fill contact form and verify success message",""
"failed","Thu Feb 08 15:56:52 SAST 2024","Thu Feb 08 15:57:04 SAST 2024","12871","chromium","conversationWithGVI.spec.ts","Conversation with GVI","","","Navigate to African Wildlife Conservation Teen Volunteering in SA page and verify title",""
"passed","Thu Feb 08 15:59:12 SAST 2024","Thu Feb 08 15:59:13 SAST 2024","579","chromium","placements.spec.ts","Placements","","","Verify Bushwise placements heading",""
"passed","Thu Feb 08 15:58:16 SAST 2024","Thu Feb 08 15:58:17 SAST 2024","745","chromium","employmentGuarantee.spec.ts","Employment Guarantee","","","Verify Our Alumni heading",""
"passed","Thu Feb 08 15:59:13 SAST 2024","Thu Feb 08 15:59:14 SAST 2024","1121","chromium","placements.spec.ts","Placements","","","Navigate to Bushwise Professional Field Guide course page and verify title",""
"passed","Thu Feb 08 15:58:57 SAST 2024","Thu Feb 08 15:59:01 SAST 2024","3960","chromium","onlineCourses.spec.ts","OnlineCourses","","","Navigate to the FGASA Field Guiding Online Course page and verify title",""
"passed","Thu Feb 08 15:58:50 SAST 2024","Thu Feb 08 15:58:51 SAST 2024","1052","chromium","home.spec.ts","Home","","","Navigate to the Campus Open Day page and verify title",""
"passed","Thu Feb 08 15:59:14 SAST 2024","Thu Feb 08 15:59:15 SAST 2024","595","chromium","placements.spec.ts","Placements","","","Verify Lowveld Trails Co. sub-heading",""
"passed","Thu Feb 08 15:55:35 SAST 2024","Thu Feb 08 15:55:39 SAST 2024","3998","chromium","conversationWithGVI.spec.ts","Conversation with GVI","","","Navigate to Cheetah Conservation and Research Project in SA page and verify title",""
"passed","Thu Feb 08 15:58:46 SAST 2024","Thu Feb 08 15:58:47 SAST 2024","726","chromium","home.spec.ts","Home","","","Navigate to HomePage and verify title",""
"passed","Thu Feb 08 15:53:25 SAST 2024","Thu Feb 08 15:53:30 SAST 2024","5038","chromium","careers.spec.ts","Careers","","","Navigate to the Placements page and verify title",""
"passed","Thu Feb 08 15:53:56 SAST 2024","Thu Feb 08 15:54:00 SAST 2024","3983","chromium","contactNavigation.spec.ts","Contact","","","Navigate to Contact page and verify title",""
"passed","Thu Feb 08 15:59:18 SAST 2024","Thu Feb 08 15:59:19 SAST 2024","703","chromium","placements.spec.ts","Placements","","","Verify Bundox Safari Lodge sub-heading",""
"passed","Thu Feb 08 15:53:30 SAST 2024","Thu Feb 08 15:53:34 SAST 2024","3592","chromium","careers.spec.ts","Careers","","","Navigate to the Employment Guarantee page and verify title",""
"failed","Thu Feb 08 15:56:11 SAST 2024","Thu Feb 08 15:56:25 SAST 2024","13728","chromium","conversationWithGVI.spec.ts","Conversation with GVI","","","Navigate to Elephant, Rhino and Buffalo Research in SA page and verify title",""
"passed","Thu Feb 08 15:52:06 SAST 2024","Thu Feb 08 15:52:11 SAST 2024","5450","chromium","about.spec.ts","About","","","Navigate to Meet the Team page and verify title",""
"passed","Thu Feb 08 15:59:05 SAST 2024","Thu Feb 08 15:59:10 SAST 2024","5298","chromium","onlineCourses.spec.ts","OnlineCourses","","","Navigate to the Introduction to Field Guiding Online Course page and verify title",""
"passed","Thu Feb 08 15:54:00 SAST 2024","Thu Feb 08 15:54:01 SAST 2024","731","chromium","conversationWithGVI.spec.ts","Conversation with GVI","","","Verify Conservation With GVI heading",""
"passed","Thu Feb 08 15:57:58 SAST 2024","Thu Feb 08 15:58:02 SAST 2024","4154","chromium","courses.spec.ts","Courses","","","Navigate to the 60-day Safari Guide Course page and verify title",""
"passed","Thu Feb 08 15:58:16 SAST 2024","Thu Feb 08 15:58:16 SAST 2024","650","chromium","employmentGuarantee.spec.ts","Employment Guarantee","","","Verify How it works heading",""
"passed","Thu Feb 08 15:59:22 SAST 2024","Thu Feb 08 15:59:22 SAST 2024","579","chromium","placements.spec.ts","Placements","","","Verify LEO Africa sub-heading",""
"passed","Thu Feb 08 16:00:07 SAST 2024","Thu Feb 08 16:00:08 SAST 2024","1236","chromium","socialmedia.spec.ts","SocialMedia","","","Go to Bushwise TikTok page and verify URL",""
"passed","Thu Feb 08 15:59:15 SAST 2024","Thu Feb 08 15:59:16 SAST 2024","742","chromium","placements.spec.ts","Placements","","","Verify Siyafunda sub-heading",""
